kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22311,Kec. Parongpong,20205427,SD NEGERI KANCAH,SD,N,Jl. Sukawana  RT.03 RW.16,-6.8007,107.5876
20000,Prov. Jawa Barat,26100,Kota Bogor,26101,Kec. Kota Bogor Selatan,20220354,SMP NEGERI 9 BOGOR,SMP,N,Jalan Dreded V Nomor 14 Bogor,-6.6156,106.8003
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20622,Kec. Nagrak,20271229,SDIT AT-TAKWIN,SD,S,Jl.Raya Cibadak-Nagrak No.88,-6.882798,106.794452
20000,Prov. Jawa Barat,22200,Kab. Bekasi,22211,Kec. Tembelang,20218580,SD NEGERI SUKARAHAYU 02,SD,N,Kp. Balong Amapel Rt. 12/06,-6.1654,107.1227
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22304,Kec. Cililin,20206672,SDARAFAH,SD,S,Kp. Pasirjati,-6.9972,107.4724
20000,Prov. Jawa Barat,21900,Kab. Subang,21925,Kec. Kasomalang,20233623,SMP NEGERI SATU ATAP 1 KASOMALANG,SMP,N,Jln.Desa Sukamelang RT 06/02,-6.5396,107.5842
20000,Prov. Jawa Barat,22200,Kab. Bekasi,22213,Kec. Pebayuran,20243985,SMP ISLAM ALWATHONIYAH,SMP,S,Jl. YPI No.3,-6.2076,107.2395
20000,Prov. Jawa Barat,21100,Kab. Garut,21122,Kec. Sukawening,20270447,SDIT AL IKHLAS SUKAWENING,SD,S,JL.PERINTIS 143 Kp. NANGOH,-7.1639,108.0125
20000,Prov. Jawa Barat,26000,Kota Bandung,26002,Kec. Babakan Ciparay,20219602,SD CAHAYA PELITA 2,SD,S,Jl. Babakan Ciparay,-6.9323,107.5849
20000,Prov. Jawa Barat,20500,Kab. Bogor,20519,Kec. Gunungputri,20201462,SD N BOJONG NANGKA 02,SD,N,Jl. Raya Bojongnangka RT. 15 RW. 07,-6.4268,106.914
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20708,Kec. Takokak,20203913,SD NEGERI SUKAGALIH 1,SD,N,Kp Sukagalih I,-7.113,106.9608
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20717,Kec. Ciranjang,20204855,SD NEGERI CIBOGO 2,SD,N,Jl. Moch. Ali No. D.20,-6.818,107.2557
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20614,Kec. Cikembar,20203139,SD NEGERI CIKATE,SD,N,Kp. Cikate,-6.97624,106.7916183
