kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
10000,Prov. D.K.I. Jakarta,16100,Kota Jakarta Utara,16103,Kec. Tanjung Priok,20109353,SD MAS INTAN,SD,S,Jl. Kamp. Bahari Gg III NO 165 RT.07/RW.02,-6.1189,106.8727
10000,Prov. D.K.I. Jakarta,16300,Kota Jakarta Selatan,16302,Kec. Pasar Minggu,20106082,SD NEGERI PEJATEN BARAT 02 PT,SD,N,Jl. Conget Pejaten No.16,-6.2763,106.8306
10000,Prov. D.K.I. Jakarta,16300,Kota Jakarta Selatan,16307,Kec. Mampang Prapatan,20106118,SDN Pela Mampang 12 Pg.,SD,N,"Jl. Bangka VII Bawah, RT.009 RW.011",-6.2486,106.8117
10000,Prov. D.K.I. Jakarta,16200,Kota Jakarta Barat,16201,Kec. Kembangan,20106823,SMP Kembangan,SMP,S,Jl. Meruya Utara Kav. DKI Blok VI,-6.1932,106.749
10000,Prov. D.K.I. Jakarta,16200,Kota Jakarta Barat,16207,Kec. Cengkareng,20102020,SD NEGERI KAPUK 15 PAGI,SD,N,Jl. Kapuk AMD RT. 010/11,-6.1306,106.7419
10000,Prov. D.K.I. Jakarta,16300,Kota Jakarta Selatan,16305,Kec. Kebayoran Lama,20105917,SDN Grogol Utara 14 Pt.,SD,N,Jl. Kemandoran I,-6.2098,106.79
300000,Prov. Gorontalo,300300,Kab. Pohuwato,300311,Kec. Buntulia,40501909,SMP NEGERI 2 BUNTULIA,SMP,N,Jl. Tambang Mas,0.5336,121.958
300000,Prov. Gorontalo,300200,Kab. Gorontalo,300208,Kec. Telaga,40500417,SMP NEGERI 2 TELAGA,SMP,N,Jalan Teknik No. 169 Telaga,0.5788,123.0409
300000,Prov. Gorontalo,300200,Kab. Gorontalo,300218,Kec. Telaga Biru,40501863,SMP NEGERI 7 TELAGA BIRU,SMP,N,Jalan Teratai Jaya,0.5982,123.0196
300000,Prov. Gorontalo,300300,Kab. Pohuwato,300304,Kec. Lemito,40500720,SDN 06 LEMITO,SD,N,Jl.Trans Sulawesi,0.546,121.5803
300000,Prov. Gorontalo,300500,Kab. Gorontalo Utara,300508,Kec. Ponelo Kepulauan,40502663,SMP NEGERI 2 PONELO KEPULAUAN,SMP,N,Ponelo Kepulauan,0.8626,122.8869
300000,Prov. Gorontalo,300200,Kab. Gorontalo,300203,Kec. Tibawa,60726167,SD NEGERI 29 TIBAWA,SD,N,Dusun Durian,0.7432067,122.8037587
300000,Prov. Gorontalo,300300,Kab. Pohuwato,300303,Kec. Paguat,40500742,SMP NEGERI 2 PAGUAT,SMP,N,Jln Trans Sulawesi,0.4768,122.0109
300000,Prov. Gorontalo,300200,Kab. Gorontalo,300216,Kec. Mootilango,40501465,SD NEGERI 13 MOOTILANGO,SD,N,Jln. Pelabuhan Anggrek,0.7228,122.677
100000,Prov. Jambi,100700,Kab. Muaro Jambi,100708,Kec. Sungai Gelam,10502808,SMP NEGERI 19 MUARO JAMBI,SMP,N,Jl. Raya Talang Belido - Ladang Panjang,-1.7106,103.6772
100000,Prov. Jambi,100800,Kab. Tanjung Jabung Timur,100811,Kec. Kuala Jambi,10504217,SD NEGERI 176X MAJELIS HIDAYAH,SD,N,Teluk Majelis,-1.1292,103.9889
